JRV,PRESJRV
HN.5.1.1.187.4196_DIP,HN.5.1.1.187.4196
NA,NA
HN.5.1.1.338.4838_DIP,HN.5.1.1.338.4838
NA,NA
NA,NA
NA,NA
HN.5.1.1.46.3658_DIP,HN.5.1.1.46.3658
HN.5.1.1.46.3659_DIP,HN.5.1.1.46.3659
HN.5.1.1.46.3660_DIP,HN.5.1.1.46.3660
HN.5.1.1.46.3661_DIP,HN.5.1.1.46.3661
HN.5.1.1.46.3662_DIP,HN.5.1.1.46.3662
NA,NA
NA,NA
HN.5.1.1.288.4641_DIP,HN.5.1.1.288.4641
HN.5.1.1.288.4642_DIP,HN.5.1.1.288.4642
NA,NA
NA,NA
HN.5.1.1.220.4341_DIP,HN.5.1.1.220.4341
NA,NA
HN.5.1.1.220.4343_DIP,HN.5.1.1.220.4343
HN.5.1.1.220.4344_DIP,HN.5.1.1.220.4344
HN.5.1.1.220.4345_DIP,HN.5.1.1.220.4345
HN.5.1.1.220.4346_DIP,HN.5.1.1.220.4346
HN.5.1.1.220.4347_DIP,HN.5.1.1.220.4347
HN.5.1.1.220.4348_DIP,HN.5.1.1.220.4348
NA,NA
HN.5.1.1.220.4350_DIP,HN.5.1.1.220.4350
HN.5.1.1.220.4351_DIP,HN.5.1.1.220.4351
HN.5.1.1.220.4352_DIP,HN.5.1.1.220.4352
HN.5.1.1.220.4353_DIP,HN.5.1.1.220.4353
NA,NA
HN.5.1.1.220.4355_DIP,HN.5.1.1.220.4355
HN.5.1.1.127.3920_DIP,HN.5.1.1.127.3920
HN.5.1.1.127.3921_DIP,HN.5.1.1.127.3921
HN.5.1.1.127.3922_DIP,HN.5.1.1.127.3922
HN.5.1.1.127.3923_DIP,HN.5.1.1.127.3923
HN.5.1.1.127.3924_DIP,HN.5.1.1.127.3924
HN.5.1.1.127.3925_DIP,HN.5.1.1.127.3925
NA,NA
NA,NA
HN.5.1.1.127.3928_DIP,HN.5.1.1.127.3928
HN.5.1.1.339.4840_DIP,HN.5.1.1.339.4840
HN.5.1.1.339.4841_DIP,HN.5.1.1.339.4841
HN.5.1.1.339.4842_DIP,HN.5.1.1.339.4842
NA,NA
NA,NA
HN.5.1.1.339.4845_DIP,HN.5.1.1.339.4845
NA,NA
HN.5.1.1.339.4847_DIP,HN.5.1.1.339.4847
NA,NA
HN.5.1.1.339.4849_DIP,HN.5.1.1.339.4849
NA,NA
HN.5.1.1.1.3439_DIP,HN.5.1.1.1.3439
HN.5.1.1.1.3440_DIP,HN.5.1.1.1.3440
NA,NA
NA,NA
HN.5.1.1.1.3443_DIP,HN.5.1.1.1.3443
HN.5.1.1.1.3444_DIP,HN.5.1.1.1.3444
HN.5.1.1.1.3445_DIP,HN.5.1.1.1.3445
HN.5.1.1.1.3446_DIP,HN.5.1.1.1.3446
HN.5.1.1.1.3447_DIP,HN.5.1.1.1.3447
